venue_city,segment_name,min_price,max_price,average_price,venue_latitude,venue_longitude
Biloxi,Arts & Theatre,30.198275862068964,55.19827586206897,42.69827586206897,30.393639241379308,-88.89511110344827
Biloxi,Miscellaneous,100.0,100.0,100.0,30.391294,-88.973907
Biloxi,Music,44.204375,115.454375,79.829375,30.398822437499998,-88.89588512499999
Biloxi,Sports,11.666666666666666,29.75,20.708333333333332,30.391294,-88.973907
Binghamton,Arts & Theatre,39.25,64.25,51.75,42.10094,-75.912332
Binghamton,Miscellaneous,29.0,329.0,179.0,42.096184,-75.9127955
Binghamton,Music,46.5,69.83333333333333,58.166666666666664,42.10094,-75.912332
Binghamton,Sports,15.0,21.0,18.0,42.096184,-75.9127955
Birmingham,Arts & Theatre,43.234693877551024,101.31632653061224,72.27551020408163,33.522079469387755,-86.81043199795918
Birmingham,Film,10.0,10.0,10.0,33.515078,-86.80918
Birmingham,Miscellaneous,45.0,125.0,85.0,33.523727,-86.81011
Birmingham,Music,33.9055737704918,74.13918032786884,54.02237704918032,33.51732070629295,-86.79950236700049
Birmingham,Sports,11.708333333333334,167.25,89.47916666666667,33.532042020128294,-86.80277350010074
Black River Falls,Music,25.0,25.0,25.0,44.32868,-90.7679
Bloomington,Arts & Theatre,13.117222222222223,81.05555555555556,47.08638888888889,39.53392322222223,-87.20538866666668
Bloomington,Music,28.25153846153846,67.0576923076923,47.65461538461538,40.44903121,-88.77618004461539
Bloomington,Sports,20.02962962962963,75.0,47.51481481481482,40.47817273,-88.99613608
Boca Raton,Arts & Theatre,50.45,66.95,58.7,26.352889999999995,-80.08569
Boca Raton,Music,42.666666666666664,57.111111111111114,49.888888888888886,26.35289,-80.08569
Boca Raton,Sports,35.0,35.0,35.0,26.35289,-80.08569
Boise,Arts & Theatre,38.51893939393939,125.54924242424242,82.0340909090909,43.60718969696969,-116.2072220909091
Boise,Music,29.833333333333332,136.75,83.29166666666667,43.613112729166666,-116.20492106249999
Boise,Sports,19.23076923076923,67.94871794871794,43.58974358974359,43.61117328205128,-116.20269861538462
Bonner,Arts & Theatre,39.0,89.0,64.0,46.875833,-113.860961
Bonner,Music,38.25,82.91666666666667,60.583333333333336,46.875833,-113.86096100000002
Bossier City,Miscellaneous,25.0,95.0,60.0,32.4668296,-93.6714935
Bossier City,Music,23.85571428571429,87.85571428571428,55.855714285714285,32.501942185714285,-93.71474827142858
Bossier City,Sports,29.99,159.99,94.99000000000001,32.4668296,-93.6714935
Boston,Arts & Theatre,45.775326797385624,107.56944444444444,76.67238562091504,42.350961049183006,-71.06579871356209
Boston,Miscellaneous,35.083333333333336,190.08333333333334,112.58333333333333,42.35535800555556,-71.09084210555555
Boston,Music,35.58322957198443,69.87505836575875,52.72914396887159,42.352944209105054,-71.0973308711284
Boston,Sports,100.28571428571429,1268.2362637362637,684.260989010989,42.36266827032967,-71.0737821142857
Bow,Music,62.666666666666664,62.666666666666664,62.666666666666664,48.560728000000005,-122.347852
Bozeman,Arts & Theatre,33.125,53.625,43.375,45.68345,-111.0445175
Bozeman,Music,29.431818181818183,48.68181818181818,39.05681818181818,45.684172727272724,-111.04443636363636
Brandon,Music,41.25,221.25,131.25,32.2826465,-89.997432
Brea,Arts & Theatre,40.59542857142857,102.33285714285715,71.46414285714286,33.919902,-117.89714700000002
Brentwood,Music,29.02,39.6575,34.338750000000005,37.9313775,-121.6938842
Bridgeport,Arts & Theatre,49.5,225.5,137.5,41.1732362,-73.1879718
Bridgeport,Miscellaneous,16.4,100.0,58.2,41.1732362,-73.1879718
Bridgeport,Music,30.9,810.4,420.65,41.17202572,-73.18789508
Bridgeport,Sports,15.40625,64.640625,40.0234375,41.1732362,-73.1879718
Bristol,Music,40.25,75.25,57.75,36.59902833,-82.21946726
Bristow,Music,44.625,174.625,109.625,38.7861199,-77.587777
Bronx,Arts & Theatre,35.0,75.0,55.0,40.8745364,-73.8916914
Bronx,Music,44.09090909090909,109.0909090909091,76.5909090909091,40.8745364,-73.8916914
