venue_id,name,city,state,country,address,postalCode,latitude,longitude,upcomingEvents
Z198xZ2qZA17,Sala Mon Live,Madrid,Madrid,Spain,"Calle Hilarión Eslava, 36",28015,40.4359,-3.7165,6
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z598xZ2qZdeAe,Bilbao Arena Miribilla,Bilbao,Biscay,Spain,"Askatasuna Hiribidea, 13",48003,43.25223,-2.92605,5
Z198xZ2qZF11,La 2 de Apolo,Barcelona,Barcelona,Spain,"Carrer Nou de la Rambla, 113",08004,41.37441,2.16953,5
Z598xZ2qZe7v1,Palacio Vistalegre,Madrid,Madrid,Spain,Acceso Sur.  C/ Matilde Hernández s/n,28025,40.386,-3.7385,33
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z598xZ2qZFvA1,Teatros Luchana (Sala 2),Madrid,Madrid,Spain,"C. de Luchana, 38",28010,40.43187,-3.69825,5
Z598xZ2qZFvA1,Teatros Luchana (Sala 2),Madrid,Madrid,Spain,"C. de Luchana, 38",28010,40.43187,-3.69825,5
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,37
Z598xZ2qZFvA1,Teatros Luchana (Sala 2),Madrid,Madrid,Spain,"C. de Luchana, 38",28010,40.43187,-3.69825,5
Z598xZ2qZFvA1,Teatros Luchana (Sala 2),Madrid,Madrid,Spain,"C. de Luchana, 38",28010,40.43187,-3.69825,5
Z598xZ2qZFvA1,Teatros Luchana (Sala 2),Madrid,Madrid,Spain,"C. de Luchana, 38",28010,40.43187,-3.69825,5
Z198xZ2qZ77F,Teatro Barceló,Madrid,Madrid,Spain,"Calle Barceló, 11",28004,40.42684,-3.7,2
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
