event_id,type,currency,min_price,max_price
Z698xZ2qZ16vQAr73v,standard including fees,EUR,113.5,175.5
Z698xZ2qZ16vQAr73v,standard,EUR,100.0,155.0
Z698xZ2qZ1ApP0jk,standard,EUR,45.0,130.0
Z698xZ2qZ1ApP0jk,standard including fees,EUR,51.0,147.5
Z698xZ2qZ16v8I84FK,standard,EUR,40.0,130.0
Z698xZ2qZ16v8I84FK,standard including fees,EUR,45.5,147.5
Z698xZ2qZ1k4yfKqI,standard including fees,EUR,113.5,175.5
Z698xZ2qZ1k4yfKqI,standard,EUR,100.0,155.0
Z698xZ2qZaaHM,standard including fees,EUR,75.0,355.0
Z698xZ2qZaaHM,standard,EUR,66.0,313.5
Z698xZ2qZaaW6,standard including fees,EUR,75.0,355.0
Z698xZ2qZaaW6,standard,EUR,66.0,313.5
Z698xZ2qZ16vCZZYQ4,standard,EUR,30.0,30.0
Z698xZ2qZ16vCZZYQ4,standard including fees,EUR,34.0,34.0
Z698xZ2qZ16vaU-JZg,standard,EUR,121.0,121.0
Z698xZ2qZ16vaU-JZg,standard including fees,EUR,137.0,137.0
Z698xZ2qZ1k4UOaqS,standard,EUR,30.0,30.0
Z698xZ2qZ1k4UOaqS,standard including fees,EUR,34.0,34.0
Z698xZ2qZ1kOK8Jxd,standard,EUR,121.0,121.0
Z698xZ2qZ1kOK8Jxd,standard including fees,EUR,137.0,137.0
Z698xZ2qZa1qA,standard,EUR,65.0,160.0
Z698xZ2qZa1qA,standard including fees,EUR,73.5,181.5
Z698xZ2qZa19a,standard,EUR,30.0,30.0
Z698xZ2qZa19a,standard including fees,EUR,34.0,34.0
Z698xZ2qZ1k_JA6ap,standard,EUR,60.0,60.0
Z698xZ2qZ1k_JA6ap,standard including fees,EUR,68.0,68.0
Z698xZ2qZa142,standard,EUR,45.0,65.0
Z698xZ2qZa142,standard including fees,EUR,51.0,73.5
Z698xZ2qZ16vZv4000,standard,EUR,400.0,470.0
Z698xZ2qZ16vZv4000,standard including fees,EUR,453.0,532.5
Z698xZ2qZ1k8eaFF7,standard including fees,EUR,85.0,547.5
Z698xZ2qZ1k8eaFF7,standard,EUR,75.0,484.0
Z698xZ2qZa1Qu,standard,EUR,55.0,155.0
Z698xZ2qZa1Qu,standard including fees,EUR,62.5,175.5
Z698xZ2qZa1hu,standard including fees,EUR,375.5,783.5
Z698xZ2qZa1hu,standard,EUR,331.5,691.5
Z698xZ2qZa1Qd,standard,EUR,55.0,270.0
Z698xZ2qZa1Qd,standard including fees,EUR,62.5,306.0
Z698xZ2qZa1h5,standard including fees,EUR,426.5,834.5
Z698xZ2qZa1h5,standard,EUR,376.5,736.5
Z698xZ2qZ16vOv0-As,standard including fees,EUR,59.0,87.0
Z698xZ2qZ16vOv0-As,standard,EUR,52.0,77.0
Z698xZ2qZ1kq71Za_,standard including fees,EUR,53.5,127.0
Z698xZ2qZ1kq71Za_,standard,EUR,47.0,112.0
Z698xZ2qZ16veKboOY,standard,EUR,42.0,112.0
Z698xZ2qZ16veKboOY,standard including fees,EUR,47.5,127.0
Z698xZ2qZ16voV7dZ-,standard including fees,EUR,47.5,122.0
Z698xZ2qZ16voV7dZ-,standard,EUR,42.0,107.0
Z698xZ2qZ1kGbu37e,standard including fees,EUR,47.5,122.0
Z698xZ2qZ1kGbu37e,standard,EUR,42.0,107.0
Z698xZ2qZ16vOg_prK,standard,EUR,205.0,215.0
Z698xZ2qZ16vOg_prK,standard including fees,EUR,232.5,243.5
Z698xZ2qZ16vaY1d08,standard,EUR,60.0,105.0
Z698xZ2qZ16vaY1d08,standard including fees,EUR,68.0,119.0
Z698xZ2qZ16vO4Q4fF,standard,EUR,60.0,176.0
Z698xZ2qZ16vO4Q4fF,standard including fees,EUR,68.0,199.5
Z698xZ2qZ1kfpaV80,standard including fees,EUR,198.5,323.0
Z698xZ2qZ1kfpaV80,standard,EUR,175.0,285.0
Z198xZ2qZkA7,standard including fees,EUR,0.5,0.5
Z198xZ2qZkA7,standard,EUR,0.5,0.5
